RQ-ID,화면 명,요구사항명,요구사항 상세,,,
RQ-ID-01-1,헤더,네비게이션,"Home, Chatbot, Risk-check, QnA,Login으로 메뉴로 구성.",,,
RQ-ID-01-2,헤더,네비게이션,각 메뉴들은 링크로 이어짐,,,
RQ-ID-01-3,헤더,네비게이션,각 메뉴 마우스 호버링 시 색깔 변화,,,
RQ-ID-01-4,헤더,네비게이션,일정 크기 이하 화면에서 햄버거 메뉴로 네비게이션 축소,,,
RQ-ID-01-5,헤더,네비게이션,Risk-Check에 마우스 호버링 시 LSD예측 페이지 및 방역시설 페이지 드롭다운 제공,,,
RQ-ID-02-1,메인페이지,캐러셀,캐러셀 이미지 3개 제공 및 애니메이션 효과,,,
RQ-ID-02-2,메인페이지,캐러셀,캐러셀 양측 버튼 클릭 시 이미지 변환,,,
RQ-ID-02-3,메인페이지,캐러셀,캐러셀 내 네비게이션 삽입,,,
RQ-ID-02-4,메인페이지,전체,"메인 페이지에 등장하는 모든 이미지, 텍스트에 애니메이션 효과",,,
RQ-ID-02-5,메인페이지,전체,메인 페이지 전체 반응형 웹 구조,,,
RQ-ID-02-6,메인페이지,서비스 카드,서비스 카드 클릭 시 해당 페이지로 이동,,,
RQ-ID-02-7,메인페이지,슬라이드,각 슬라이드 하단 슬라이드 이동 버튼,,,
RQ-ID-03-1,생성형AI 페이지,질문 입력,"사용자가 질문 입력 후 엔터 키, 버튼 클릭 시 해당 질문 전송",,,
RQ-ID-03-2,생성형AI 페이지,럼피스킨 질문,사용자가 럼피스킨(LSD) 관련 질문 시 RAG로 구현된 정보 바탕으로 응답 생성,,,
RQ-ID-03-3,생성형AI 페이지,RAG ,문서 임베딩 모델 jhgan/ko-sroberta-multitask 모델 사용,,,
RQ-ID-03-4,생성형AI 페이지,RAG ,응답 생성 모델 skt/kogpt2-base-v2 사용,,,
RQ-ID-03-5,생성형AI 페이지,RAG ,벡터 DB Chroma 이용,,,
RQ-ID-03-6,생성형AI 페이지,답변,응답 길이는 최대 300자 이내로 출력,,,
RQ-ID-03-7,생성형AI 페이지,답변,답변 길이가 창보다 길어질 시 마우스 휠로 조절,,,
RQ-ID-03-8,생성형AI 페이지,번역,영어 번역 시 Helsinki-NLP/opus-mt-ko-en 모델 사용,,,
RQ-ID-04-1,LSD 확산 시뮬레이션 ,드롭다운,"날짜, 위치 , 분석결과 보기 버튼으로 구성",,,
RQ-ID-04-2,LSD 확산 시뮬레이션 ,Service 버튼,좌측 Service 버튼을 통해 6개 예측 서비스 페이지로 이동 가능,,,S
RQ-ID-04-3,LSD 확산 시뮬레이션 ,화면,"사용자가 날짜, 위치를 선택하지 않아도 2025년 7월 서산시의 그래프를 첫 화면에 제공",,,
RQ-ID-04-4,LSD 확산 시뮬레이션 ,분석 과정,해당 그래프를 어떻게 분석했는지 하단 카드에 정보 제공,,,
RQ-ID-05-1,LSD 확산 시뮬레이션 - 연도별 예측,데이터,"그래프의 데이터는 오라클 테이블 ""LUMPY"" 에서 가져옴",,,
RQ-ID-05-2,LSD 확산 시뮬레이션 - 연도별 예측,데이터,"오라클 테이블 ""LUMPY""는 머신러닝 예측 값(Y) ",,,
RQ-ID-05-3,LSD 확산 시뮬레이션 - 연도별 예측,그래프,라인 차트로 시각화,,,
RQ-ID-05-4,LSD 확산 시뮬레이션 - 연도별 예측,그래프,X축: 선택한 연도의 월 단위 Y축: 발생 두수,,,
RQ-ID-05-5,LSD 확산 시뮬레이션 - 연도별 예측,툴팁,마우스 호버링 시 예상 발생 두수 정보 제공,,,
RQ-ID-05-6,LSD 확산 시뮬레이션 - 연도별 예측,제목,"연도, 시.군.구 클릭 시 그래프 이름도 해당 연도와 시.군.구로 바뀜",,,
RQ-ID-05-7,LSD 확산 시뮬레이션 - 연도별 예측,화면,사용자가 연도를 선택하지 않아도 2024년 서산시의 그래프를 첫 화면에 제공,,,
RQ-ID-06-1,LSD 확산 시뮬레이션 - 시간별 감염 진행,데이터,파이썬으로 구한 DDE 시뮬레이션을 JSON으로 받아옴,,,
RQ-ID-06-2,LSD 확산 시뮬레이션 - 시간별 감염 진행,그래프,라인 차트로 시각화,,,
RQ-ID-06-3,LSD 확산 시뮬레이션 - 시간별 감염 진행,그래프,X축: 월 (1~30일) Y축: 발생 두수,,,
RQ-ID-06-4,LSD 확산 시뮬레이션 - 시간별 감염 진행,툴팁,마우스 호버링 시 해당 감염 진행률 정보 제공,,,
RQ-ID-07-1,LSD 확산 시뮬레이션 - 감염 한계치 분석,데이터,파이썬으로 구한 DDE 시뮬레이션을 JSON으로 받아옴,,,
RQ-ID-07-2,LSD 확산 시뮬레이션 - 감염 한계치 분석,그래프,라인 차트로 시각화,,,
RQ-ID-07-3,LSD 확산 시뮬레이션 - 감염 한계치 분석,그래프,임계값 50(마리) 설정,,,
RQ-ID-07-4,LSD 확산 시뮬레이션 - 감염 한계치 분석,그래프,X축: 월 단위 Y축: 발생 두수 (마리),,,
RQ-ID-07-5,LSD 확산 시뮬레이션 - 감염 한계치 분석,툴팁,마우스 호버링 시 예상 발생 두수 정보 제공,,,
RQ-ID-07-6,LSD 확산 시뮬레이션 - 감염 한계치 분석,분석 과정,머신러닝 예측 값과 감염 한계치 값 차이 원인 설명,,,
RQ-ID-08-1,LSD 확산 시뮬레이션 - 감염률 비교,데이터,머신러닝 예측 값과 DDE 시뮬레이션 데이터 결합 후 JSON 파일 사용,,,
RQ-ID-08-2,LSD 확산 시뮬레이션 - 감염률 비교,그래프,막대 그래프 형태로 시각화,,,
RQ-ID-08-3,LSD 확산 시뮬레이션 - 감염률 비교,그래프,X축: 충청남도의 모든 시.군.구 포함,,,
RQ-ID-08-4,LSD 확산 시뮬레이션 - 감염률 비교,툴팁,해당 시.군.구 막대를 마우스 호버링 시 감염률 정보 제공,,,
RQ-ID-09-1,LSD 확산 시뮬레이션 - 위험도 지수,데이터,머신러닝 예측 값과 DDE 시뮬레이션 데이터 결합 후 JSON 파일 사용,,,
RQ-ID-09-2,LSD 확산 시뮬레이션 - 위험도 지수,그래프,도넛 차트로 시각화,,,
RQ-ID-09-3,LSD 확산 시뮬레이션 - 위험도 지수,그래프,위험/안전 두가지 결과로 제공,,,
RQ-ID-09-4,LSD 확산 시뮬레이션 - 위험도 지수,툴팁,마우스 호버링 시 해당 시군구의 위험 유.무 제공,,,
RQ-ID-10-1,LSD 확산 시뮬레이션 - 초기 확산 속도,데이터,DDE 시뮬레이션에서 머신러닝 데이터를 넣은 감염 두수의 기울기로 계산된 값 JSON으로 받아옴,,,
RQ-ID-10-2,LSD 확산 시뮬레이션 - 초기 확산 속도,그래프,라인 차트로 시각화,,,
RQ-ID-10-3,LSD 확산 시뮬레이션 - 초기 확산 속도,그래프,X축: 감염 시작 시점 0부터 100시간 ,,,
RQ-ID-10-4,LSD 확산 시뮬레이션 - 초기 확산 속도,그래프,지역별로 구분해서 시각화,,,
RQ-ID-11-1,방역 시설 정보 페이지,카카오맵,사용자가 드롭다운 선택 시 해당 위치를 카카오맵 지도로 보여줌,,,
RQ-ID-11-2,방역 시설 정보 페이지,카카오맵,해당 지도는 20m까지 확대 가능,,,
RQ-ID-11-3,방역 시설 정보 페이지,방역 소독소 데이터,소독장 정보 데이터는 오라클 테이블을 이용하여 가져옴,,,
RQ-ID-11-4,방역 시설 정보 페이지,소독장 안내,사용자가 선택한 지역에서 제일 가까운 소독장 정보 제공,,,
RQ-ID-11-5,방역 시설 정보 페이지,소독장 안내,"위치, 이름, 영업시간, 예상 혼잡도 정보를 제공",,,
RQ-ID-11-6,방역 시설 정보 페이지,예상 혼잡도,해당 시.군.구 면적 대비 사육 두수와 소독장 개수를 통한 결과로 상.중.하로 표시,,,
RQ-ID-11-7,방역 시설 정보 페이지,화면,사용자가 위치를 선택하지 않을 시 기본으로 주는 정보 없음,,,
RQ-ID-12-1,게시판 페이지,화면,qna 클릭 시 첫 화면에 질문 내역들이 보여짐,,,
RQ-ID-12-2,게시판 페이지,질문 등록,"사용자는 게시판에 질문 제목, 내용을 입력하고 등록 버튼으로 새로운 질문 작성 가능",,,
RQ-ID-12-3,게시판 페이지,질문 등록,"질문 등록 시 제목, 내용 중 공란이 있으면 경고알림창이 보여짐",,,
RQ-ID-12-4,게시판 페이지,질문 등록,로그인 한 사용자여야 질문 등록이 가능함,,,
RQ-ID-12-5,게시판 페이지,질문 삭제,본인이 작성한 질문을 선택하여 삭제 가능,,,
RQ-ID-12-6,게시판 페이지,질문 삭제,삭제 시 사용자에게 확인 메시지 출력,,,
RQ-ID-12-7,게시판 페이지,질문 삭제,질문 ID가 현재 로그인 중인 사용자 ID와 일치한지 검증 후 삭제 가능,,,
RQ-ID-12-8,게시판 페이지,답변 등록,사용자는 질문에 대해 답변을 작성하고 등록 가능,,,
RQ-ID-12-9,게시판 페이지,답변 등록,작성한 답변들은 해당 질문 하단에 표시,,,
RQ-ID-12-10,게시판 페이지,답변 등록,로그인 한 사용자여야 답변 등록이 가능함,,,
RQ-ID-12-11,게시판 페이지,답변 수정,사용자는 기존에 등록한 답변의 내용 수정 가능,,,
RQ-ID-12-12,게시판 페이지,답변 수정,수정된 답변은 바뀐 날짜 데이터를 포함해서 화면에 보여짐,,,
RQ-ID-12-13,게시판 페이지,답변 수정,답변 수정 시 답변한 ID와 현재 로그인 중인 사용자 ID가 일치할 경우에만 답변 수정 가능,,,
RQ-ID-12-14,게시판 페이지,게시판 검색,"사용자가 질문 내용, 사용자 ID, 질문 번호 들 중 하나를 검색창에 쓰면 해당되는 모든 결과가 나옴",,,
RQ-ID-12-15,게시판 페이지,게시판 검색,검색 결과가 없을 시 검색 결과 없음 이라는 화면이 보여야 함,,,
RQ-ID-13-1,로그인 페이지,로그인,"등록된 아이디, 비밀번호를 입력하여 로그인 ",,,
RQ-ID-13-2,로그인 페이지,로그인,로그인 성공 시 사용자 인증 상태 유지,,,
RQ-ID-13-3,로그인 페이지,로그인,로그인 성공 시 메인 화면으로 이동,,,
RQ-ID-13-4,로그인 페이지,로그인,"아이디, 비밀번호 중 일치하지 않은 항목이 있을 시 경고창이 보여짐",,,
RQ-ID-14-1,회원가입 페이지,회원가입,"사용자는 아이디, 비밀번호, 비밀번호 재확인, 이메일 정보를 입력하여 회원가입",,,
RQ-ID-14-2,회원가입 페이지,회원가입,회원가입 후 해당 데이터들은 오라클 테이블에 저장,,,
RQ-ID-14-3,회원가입 페이지,회원가입,회원가입 검증이 완료된 사용자는 로그인 상태로 메인 페이지로 이동 ,,,
RQ-ID-15-1,비밀번호 재설정 페이지,비밀번호 재설정,로그인 화면에서 Forgot Password? 링크 클릭 시 비밀번호 재설정 페이지가 보여져야함,,,
RQ-ID-15-2,비밀번호 재설정 페이지,비밀번호 재설정,기존 사용자 ID확인 후 비밀번호 확인 검증을 통해 비밀번호 재설정 가능,,,
RQ-ID-15-3,비밀번호 재설정 페이지,비밀번호 재설정,비밀번호 변경 즉시 오라클 테이블에서 기존 비밀번호 삭제 후 새로운 비밀번호 등록,,,
